key,title,sessionAbstract,sessionType,sessionStart,sessionEnd,moreInfo,key:tutorial
tutorialSession-01,A normal Title,A normal Abstract,HANDS_ON,2022/08/30 00:00,2022/08/30 03:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-01
tutorialSession-02,A,A normal Abstract,THEORY,2022/08/30 00:00,2022/08/30 03:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-03
tutorialSession-03,AB,A normal Abstract,BALANCED,2022/08/30 00:00,2022/08/30 03:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-05
tutorialSession-04,A text with 74 characters FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,A normal Abstract,HANDS_ON,2022/08/30 00:00,2022/08/30 03:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-07
tutorialSession-05,A text with 75 characters FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,A normal Abstract,THEORY,2022/08/30 00:00,2022/08/30 03:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-01
tutorialSession-06,変な言葉で書かれた普通のタイトル,A normal Abstract,BALANCED,2022/08/30 00:00,2022/08/30 03:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-03
tutorialSession-07,Мне становится скучно,A normal Abstract,HANDS_ON,2022/08/30 00:00,2022/08/30 03:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-05
tutorialSession-08,<script>alert('This value is invalid')</script>,A normal Abstract,THEORY,2022/08/30 00:00,2022/08/30 03:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-07
tutorialSession-09,<h1>Este atributo es muy bonito</h1>,A normal Abstract,BALANCED,2022/08/30 00:00,2022/08/30 03:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-01
tutorialSession-10,? ??rm#| ~|?T0{r}I@l,A normal Abstract,HANDS_ON,2022/08/30 00:00,2022/08/30 03:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-03
tutorialSession-11,A normal Title,A,THEORY,2022/08/30 00:00,2022/08/30 03:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-05
tutorialSession-12,A normal Title,AB,BALANCED,2022/08/30 00:00,2022/08/30 03:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-07
tutorialSession-13,A normal Title,A text with 99 characters FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,HANDS_ON,2022/08/30 00:00,2022/08/30 03:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-01
tutorialSession-14,A normal Title,A text with 100 characters FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,THEORY,2022/08/30 00:00,2022/08/30 03:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-03
tutorialSession-15,A normal Title,<script>alert('Invalid data')</script>,BALANCED,2022/08/30 00:00,2022/08/30 03:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-05
tutorialSession-16,A normal Title,<h1>Cute text</h1>,HANDS_ON,2022/08/30 00:00,2022/08/30 03:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-07
tutorialSession-17,A normal Title,これは日本語です,THEORY,2022/08/30 00:00,2022/08/30 03:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-01
tutorialSession-18,A normal Title,это русский,BALANCED,2022/08/30 00:00,2022/08/30 03:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-03
tutorialSession-19,A normal Title,t\HïS *I_S w{e}#@ir$%7d t)({e[x]_t,HANDS_ON,2022/08/30 00:00,2022/08/30 03:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-05
tutorialSession-20,This session hasn't started yet,A normal Abstract,THEORY,2022/08/20 00:00,2022/08/20 03:30,https://github.com/tcabgom/Acme-L3-D02,tutorial-07
tutorialSession-21,This session starts NOW,A normal Abstract,BALANCED,2022/07/30 00:00,2022/08/30 05:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-01
tutorialSession-22,This session is currently ongoing,A normal Abstract,HANDS_ON,2022/07/29 23:00,2022/08/30 02:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-03
tutorialSession-23,This session ends NOW,A normal Abstract,THEORY,2022/07/29 20:00,2022/07/30 00:00,https://github.com/tcabgom/Acme-L3-D02,tutorial-05
tutorialSession-24,This session has already ended,A normal Abstract,BALANCED,2022/06/29 00:00,2022/06/29 02:30,https://github.com/tcabgom/Acme-L3-D02,tutorial-07
tutorialSession-25,A normal Title,A normal Abstract,HANDS_ON,2022/08/30 00:00,2022/08/30 03:00,,tutorial-01
tutorialSession-26,A normal Title,A normal Abstract,THEORY,2022/08/30 00:00,2022/08/30 03:00,http://example.com/a?b,tutorial-03
tutorialSession-27,A normal Title,A normal Abstract,BALANCED,2022/08/30 00:00,2022/08/30 03:00,http://example.com/a/b/c,tutorial-05
tutorialSession-28,A normal Title,A normal Abstract,HANDS_ON,2022/08/30 00:00,2022/08/30 03:00,,tutorial-07
tutorialSession-29,A normal Title,A normal Abstract,THEORY,2022/08/30 00:00,2022/08/30 03:00,ftp://user:pass@scme.org,tutorial-01
tutorialSession-30,A normal Title,A normal Abstract,BALANCED,2022/08/30 00:00,2022/08/30 03:00,,tutorial-03
